Задержан глава полиции по Ишимбайскому району Башкирии.  В отношении него возбуждено уголовное дело, он организовал настоящий рэкет.  https://www.kommersant.ru/doc/3868921№%:№%:2019-02-01 17:10:05№%:№%:23967044
Уфимцев просят перепарковать автомобили    В администрации опубликовали адреса  https://news102.ru/world/ufimtsev-prosyat-pereparkovat-avtomobili/№%:№%:2019-02-01 16:50:00№%:№%:23967044
🔥 Десятки сломленных судеб и разрушенных семей 🔥    Реальные истории жертв суррогатной водки из Башкирии.    👉🏻 Видео: https://vk.cc/8ZnFgJ№%:№%:2019-02-01 16:30:02№%:№%:23967044
Радий Хабиров проводит опрос среди подписчиков в соцсетях    Он просит ответить на вопрос, который волнует многих родителей:   http://i-gazeta.com/news/region102/40703.html№%:№%:2019-02-01 16:10:00№%:№%:23967044
Учащихся Башкирии начнут готовить ко взрослой жизни еще в школе.    В республике запускают новую образовательную программу    Что изменится: http://www.bashinform.ru/news/1268552-vypusknikov-bashkirii-podgotovyat-k-vzrosloy-zhizni-s-pomoshchyu-proekta-vzletay-/№%:№%:2019-02-01 15:50:00№%:№%:23967044
⛄Погода на выходной в Башкирии   Синоптики рассказали, чего ждать:   http://www.bashinform.ru/news/1268537-vykhodnye-v-bashkirii-nachnutsya-s-nebolshogo-snega/№%:№%:2019-02-01 15:30:04№%:№%:23967044
Главный госавтоинспектор республики Динар Гильмутдинов сообщил о ДТП в Белебеевском районе.  Пострадали две женщины, выясняются обстоятельства происшествия.  https://mkset.ru/news/incident/01-02-2019/v-bashkirii-dva-cheloveka-postradali-iz-za-ustroivshego-dtp-84-letnego-pensionera?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2019-02-01 15:10:08№%:№%:23967044
Ми-ми-ми новости: В Уфе спасли крохотного ночного зверя    До весны Пушкин будет спать в холодильнике    http://ufacitynews.ru/news/2019/01/31/vidimo-pushkin-vyletel-prazdnovat-poyavilis-interesnye-podrobnosti-o-spasennoj-v-ufe-letuchej-myshi/№%:№%:2019-02-01 14:50:00№%:№%:23967044
Радий Хабиров не понимает куда в Башкирии пропали лекарства. На них выделено 11 миллиардов рублей.  Врио главы региона приказал разобраться с этой проблемой очень быстро.  Видео: https://utv.ru/material/radij-habirov-ne-ponimaet-kuda-v-bashkirii-propali-lekarstva-na-nih-vydeleno-11-milliardov-rublej/№%:№%:2019-02-01 14:30:02№%:№%:23967044
Радий Хабиров поручил обеспечить бесплатное лекарственное обеспечение для некоторых пациентов в Башкирии  После обращения главы Минздрава РБ:  http://ufatime.ru/news/2019/02/01/radij-habirov-poruchil-obespechit-besplatnoe-lekarstvennoe-obespechenie-dlya-nekotoryh-pacientov-v-bashkirii/№%:№%:2019-02-01 14:10:02№%:№%:23967044
Дело владельца сети магазинов по продаже шин и радиостанции продолжается.  Андрея Смышляева уже признали банкротом, теперь проверяют счета.  https://www.kommersant.ru/doc/3869053№%:№%:2019-02-01 13:50:00№%:№%:23967044
«Надо создать атмосферу нетерпимости»    Радий Хабиров выдвинул ряд предложений по изменению школьного образования в Башкирии    https://gorobzor.ru/novosti/obschestvo/22307-radiy-habirov-vydvinul-ryad-predlozheniy-po-izmeneniyu-shkolnogo-obrazovaniya-v-bashkirii№%:№%:2019-02-01 13:30:04№%:№%:23967044
«Началась настоящая паника»  В Башкирии автобус со школьниками попал в серьезное ДТП. На место приехала скорая помощь и спасатели.  https://www.ufa.kp.ru/daily/26936/3987396/№%:№%:2019-02-01 13:10:01№%:№%:23967044
Гонка на снегоходах, парашютисты и взрывы: бойцы Росгвардии показали голливудский экшн    Фоторепортаж Proural c всероссийских учений проводимых на уфимском полигоне.    Подробнее: https://vk.cc/8Zhr7j№%:№%:2019-02-01 12:50:00№%:№%:23967044
Все на борьбу со снегом!  Чиновники почувствовали на себе всю прелесть работы дворников!  Сотрудники Администрации Демского района Уфы помогли очистить от снега территорию вокруг местного роддома    http://www.allufa.ru/aktualno/sotrudniki-administratsii-demskogo-rayona-ufy-pomogli-ochistit-ot-snega-territoriyu-vokrug-mestnogo-/№%:№%:2019-02-01 12:30:02№%:№%:23967044
Инфа для мамочек: в Башкирии пересчитали детские пособия  Сумма прибавки смешная. Сравнили с прошлым годом и рассказали, какие выплаты сейчас получают молодые родители Башкирии:  https://ufa1.ru/text/economics/65899351?from=window_1№%:№%:2019-02-01 12:10:00№%:№%:23967044
В Сибае уже как третий месяц введен режим повышенной готовности к ЧС. Так кто виноват в этой ситуации?  Похоже ответ найден. Гидрогеолог объяснил нам, что могло произойти, а его слова подтвердили в институте геологии УНЦ РАН.  https://mkset.ru/news/society/30-01-2019/gidrogeolog-nazval-vozmozhnuyu-prichinu-okisleniya-gornyh-porod-v-sibayskom-kariere?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2019-02-01 11:50:00№%:№%:23967044
Пойдем, покатаемся на коньках?  Корреспондент Likes провела обзор катков Уфы и выставила каждому субъективные оценки. Вместе с ней в тест-драйве участвовали муж и маленькая дочка.  https://likes.ru/ufa/reviews/1123-poydem-pokataemsya-na-konkah№%:№%:2019-02-01 11:30:02№%:№%:23967044
Он вывел четырехмесячного ребенка на улицу и на морозе забил до смерти ногами  Стало известно окончательное наказание жестокому убийце.   https://www.ufa.kp.ru/online/news/3373370/№%:№%:2019-02-01 11:10:01№%:№%:23967044
Большой скандал внутри правительства    Министр экологии испугался Хабирова и скрывал истинную ситуацию с масштабами чудовищного загрязнения воздуха в Башкирии.    https://www.ufa.kp.ru/daily/26936/3987280/№%:№%:2019-02-01 10:50:00№%:№%:23967044
Емельяненко оказался популярнее Нурмагомедова    Топ-10 персон, которые были интересны жителям республики    Подробности: https://news102.ru/world/emelyanenko-populyarnee-nurmagomedova/№%:№%:2019-02-01 10:30:03№%:№%:23967044
👍🏻Школьников Башкирии будут учить водить машину  В школах появится еще несколько классных предметов:   http://www.bashinform.ru/news/1268254-v-shkolakh-bashkirii-nachnut-obuchat-vozhdeniyu-i-angliyskomu-razgovornomu-yazyku-/№%:№%:2019-02-01 10:10:02№%:№%:23967044
В Башкирии за месяц от женщин с опасной инфекцией родились 28 детей    Инфекция никак не лечится:    http://ufacitynews.ru/news/2019/02/01/v-bashkirii-za-mesyac-ot-vich-inficirovannyh-materej-rodilis-28-mladencev/№%:№%:2019-02-01 09:50:00№%:№%:23967044
«Доброта для художника губительна».   «Как-то в детстве отец спросил меня: «Сын, кем хочешь стать?» На мой ответ – художником – показал кулак». Художник Юрий Бычков о творчестве вопреки и о главной любви – море и кораблях.  http://www.ufa.aif.ru/culture/art/dobrota_dlya_hudozhnika_gubitelna_marinist_-_o_parusah_i_ob_ufimcah№%:№%:2019-02-01 09:30:03№%:№%:23967044
В Уфе сбили первоклассника  Он шел домой  http://www.bashinform.ru/news/1268203-v-ufe-pervoklassnik-popal-pod-kolesa-lady-vesty/№%:№%:2019-02-01 09:10:01№%:№%:23967044
Радий Хабиров потребовал, чтобы жители Башкирии больше не покупали лекарства на свои деньги    Попытки заставить людей тратить свои деньги на медикаменты будут "жестко пресекать"    http://ufatime.ru/news/2019/02/01/radij-habirov-potreboval-chtoby-zhiteli-bashkirii-bolshe-ne-pokupali-lekarstva-na-svoi-dengi/№%:№%:2019-02-01 08:50:00№%:№%:23967044
В школах Башкирии произойдут серьезные изменения  Кого-то они очень порадуют:  https://gorobzor.ru/novosti/obschestvo/22289-shkoly-bashkirii-pereydut-na-pyatidnevku№%:№%:2019-02-01 08:30:03№%:№%:23967044
Запрет на курение за рулем, новые номера и камеры: большое интервью с Динаром Гильмутдиновым   Глава ГИБДД Башкирии ответил на самые важные и интересные вопросы. Важно почитать каждому автомобилисту.    Подробнее: https://vk.cc/8ZrVJe№%:№%:2019-02-01 08:10:00№%:№%:23967044
84-летняя пенсионерка целый день ждала участкового терапевта, но безрезультатно 🤷🏽‍♀  Врач так и не приехала... Бабушка в слезах 😢  Смотрите видеосюжет: http://www.allufa.ru/news/obshchestvo/pensionerka-s-perelomom-reber-ne-dozhdalas-vracha-iz-polikliniki/№%:№%:2019-02-01 07:50:00№%:№%:23967044
В Госкомторге назвали самый продаваемый в Башкирии алкогольный напиток  Его потребляют тоннами  http://ufacitynews.ru/news/2019/02/01/v-goskomtorge-nazvali-samyj-prodavaemyj-alkogolnyj-napitok-v-bashkirii/№%:№%:2019-02-01 07:30:02№%:№%:23967044
Начальник ГИБДД Башкирии рассказал, как на него влияют публикации в соцсетях  И какой результат дает то, что пишут люди:  http://ufatime.ru/news/2019/02/01/nachalnik-gibdd-bashkirii-rasskazal-kak-na-nego-vliyayut-publikacii-v-socsetyah/№%:№%:2019-02-01 07:10:00№%:№%:23967044
Некоторым жителям Башкирии полагаются налоговые льготы   Как ими воспользоваться?   http://i-gazeta.com/news/region102/40693.html№%:№%:2019-02-01 06:50:00№%:№%:23967044
🔥 Коллекторы превратили жизнь уфимца в ад! 🔥    Но мужчина смог наказать их! 😎    👉🏻 Видео: https://bash.news/news/89000_v_ufe_kollektory_poplatilis_za_napadki_na_cheloveka_ne_imeyushhego_otnosheniya_k_dolgu№%:№%:2019-02-01 06:30:01№%:№%:23967044
Стало известно сколько зарабатывают заключённые в Башкирии  Самые высокие зарплаты на производстве металлических изделий: https://ufa.rbc.ru/ufa/31/01/2019/5c52f6459a794754e0ba0e45?from=regional_newsfeed№%:№%:2019-02-01 06:10:00№%:№%:23967044
В скандальном долгострое новые нарушения.  В частности, факты нецелевой траты средств дольщиков.   https://www.kommersant.ru/doc/3868377№%:№%:2019-02-01 05:50:00№%:№%:23967044
"Неудобные вопросы" футболисту "Уфы"    Cамые курьезные, забавные и неожиданные вопросы    https://news102.ru/sport/neudobnye-voprosy-s-futbolistom-ufy/№%:№%:2019-02-01 05:30:00№%:№%:23967044
Стало известно, какие сюрпризы готовят нам февраль и март   Синоптики озвучили уточненный прогноз:    http://i-gazeta.com/news/region102/40698.html№%:№%:2019-02-01 05:10:00№%:№%:23967044
В Башкирии растет число людей, подхвативших опасную инфекцию   Кто в группе риска:   http://i-gazeta.com/news/region102/40694.html№%:№%:2019-01-31 21:50:00№%:№%:23967044
Жители Уфы хотят назвать улицы именами Даяна Мурзина и купцов Блохиных  Чем известны эти люди:  http://www.ufa.aif.ru/society/details/zhiteli_ufy_hotyat_nazvat_ulicy_imenami_dayana_murzina_i_kupcov_blohinyh№%:№%:2019-01-31 21:30:02№%:№%:23967044
Террориста из Башкирии отправили в психиатрическую больницу.  Он напал с ножом на женщину.  https://www.kommersant.ru/doc/3868186№%:№%:2019-01-31 21:10:04№%:№%:23967044
Минздрав Башкирии покинули два заместителя  Спойлер: тот, которому понравился воздух Сибая, остался на месте.  http://www.ufa.aif.ru/politic/gover/minzdrav_bashkirii_pokinuli_dva_zamestitelya№%:№%:2019-01-31 20:50:00№%:№%:23967044
Вынесено решение о работе шапито.  Повторная проверка показала, что в цирке небезопасно  https://www.kommersant.ru/doc/3868907№%:№%:2019-01-31 20:30:04№%:№%:23967044
В Национальной библиотеке развернулось такооое шоу 🔥💃🏿   Индийские фильмы просто отдыхают!    Смотрите видеосюжет: http://www.allufa.ru/news/sport/v-natsionalnoy-biblioteke-imeni-akhmed-zaki-validi-razvernulos-neobychnoe-shou/№%:№%:2019-01-31 20:10:10№%:№%:23967044
Не смогли отстоять репутацию башкирского меда.  Иск на миллион проигран.  http://www.ufa.aif.ru/society/krasnoyarskie_eksperty_ne_otdadut_bashkirii_million_za_medovuyu_reputaciyu№%:№%:2019-01-31 19:50:00№%:№%:23967044
Роспотребнадзор: Уфа в преддверии эпидемии гриппа.  С ноября прошлого года в республике диагноз ГРИПП поставили 140 пациентам. Треть случаев — вирус H1N1 или "свиной грипп".  Подробности и видео: https://utv.ru/material/rospotrebnadzor-ufa-v-preddverii-epidemii-grippa/№%:№%:2019-01-31 19:30:02№%:№%:23967044
Сегодня в Башкирии массово эвакуировали школы, больницы и другие объекты.  Что происходит?    Комментарии МЧС и ФСБ: http://www.bashinform.ru/news/1267902-v-bashkirii-massovo-evakuiruyut-shkoly-i-bolnitsy-chto-proiskhodit-/№%:№%:2019-01-31 19:10:03№%:№%:23967044
В Башкирии проверили ингредиенты для шаурмы  Это связано с вспышкой опасной инфекции:  http://i-gazeta.com/news/region102/40696.html№%:№%:2019-01-31 18:50:00№%:№%:23967044
В Уфе будут ремонтировать половину важнейшего путепровода  Грядут большие пробки:  http://ufatime.ru/news/2019/01/31/v-2019-godu-v-ufe-zavershat-remont-vedushego-na-ulicu-perspektivnuyu-puteprovoda-i-obnovyat-dorogu-v-shakshu/№%:№%:2019-01-31 18:30:02№%:№%:23967044
ФК «Уфа»: кого подписали и потеряли    Генеральный директор прокомментировал последние слухи    https://news102.ru/sport/fk-ufa-kogo-podpisali-i-poteryali/№%:№%:2019-01-31 18:10:08№%:№%:23967044
В Башкирии падает число избирателей  Их уже меньше на 6 тысяч человек: https://ufa.rbc.ru/ufa/31/01/2019/5c52a0ae9a79473154555375?from=regional_newsfeed№%:№%:2019-01-31 17:50:00№%:№%:23967044
В Уфе мужчина катался на лыжах и обнаружил находку в сугробе  Ему пришлось вызвать спасателей:  http://www.bashinform.ru/m/news/1267163-v-ufimskom-lesu-lyzhnik-obnaruzhil-v-sugrobe-neadekvatnogo-muzhchinu-i-vyzval-spasateley/№%:№%:2019-01-31 17:30:04№%:№%:23967044
«Не выдержала мук совести»  В Уфе женщина призналась в зверском преступлении. Очередная дикость в Уфе:   https://gorobzor.ru/novosti/proisshestviya/22263-v-ufe-zhenschina-priznalas-v-ubiystve-soseda№%:№%:2019-01-31 17:10:03№%:№%:23967044
«Прошел год, а мы все ждем»   Отец пропавшего Артура Газиева в Уфе впервые рассказал о растянувшихся поисках сына. Прошел уже год.  https://www.ufa.kp.ru/online/news/3372206/№%:№%:2019-01-31 16:50:00№%:№%:23967044
До конца года на дорогах Башкирии появится 663 новых камер  Об этом на пресс-конференции в медиацентре «Россия» рассказал руководитель республиканского управления ГИБДД Динар Гильмутдинов.  https://gtrk.tv/novosti/125967-konca-goda-dorogah-bashkirii-poyavitsya-663-novye-kamery-dinar-gilmutdinov№%:№%:2019-01-31 16:30:02№%:№%:23967044
🔥 Полная версия концерта Элвина Грея в Уфе! 🔥  Двухчасовое шоу в "Уфа-Арене"! Лучший видос на этот вечер! 😎  👉🏻 Видео: https://bash.news/news/89136_v_seti_opublikovali_polnuyu_versiyu_koncerta_elvina_greya_v_ufe№%:№%:2019-01-31 16:10:02№%:№%:23967044
Изменения, вступающие в силу с 1 февраля 2019 года    ГорОбзор.ру собрал список изменений, которые коснутся каждого:   https://gorobzor.ru/novosti/obschestvo/22267-izmeneniya-vystupayuschie-v-silu-s-1-fevralya-2019-goda№%:№%:2019-01-31 15:50:00№%:№%:23967044
Башгидромет опубликовал прогноз погоды на 1 февраля   Ожидаются перепады температур в 16 градусов:   http://ufacitynews.ru/news/2019/01/31/bashgidromet-opublikoval-prognoz-pogody-na-1-fevralya/№%:№%:2019-01-31 15:30:04№%:№%:23967044
