[club2786108|A42.RU] продолжает конкурс с еженедельным розыгрышем призов для активных и внимательных читателей! 🎁👍    Для участия в конкурсе нужно быть чуть-чуть активнее других подписчиков нашего сообщества. Лайкать посты, комментировать новости, участвовать в дискуссиях.    Всем участникам будут начисляться баллы за активность. 4 февраля мы объявим трёх победителей, набравших наибольшее количество баллов.    На этой неделе мы дарим:    За 🥇 место – фитнес-браслет Xiaomi Mi Band 2 Black; За 🥈 место – настольная игра “Монополия”; За 🥉 место – внешний аккумулятор Power Box.    Победители прошлой недели:  [id10739071|Павел Ходеев] - MP3-плеер X-709W [id53556641|Александр Руднев] - настольная игра “Манчкин”  [id44900071|Сергей Салтымаков] - сертификат на кофе или чай с десертом в “Семейную кофейню”.   Полные правила и ссылка на рейтинг: https://vk.cc/8YlheG№%:№%:2019-01-28 13:22:20№%:№%:2786108
Массовое отравление детей в садах Москвы подтвердили официально    https://gazeta.a42.ru/lenta/news/massovoe-otravlenie-detei-v-sadah-moskvy-podtverdili-oficial?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 09:30:18№%:№%:2786108
Скончался легендарный диктор программы «Время»    https://gazeta.a42.ru/lenta/news/skonchalsya-legendarnyi-diktor-programmy-vremya?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 09:00:33№%:№%:2786108
В Кемерове столкнулись маршрутка и автобус    https://gazeta.a42.ru/lenta/news/v-kemerove-stolknulis-marshrutka-i-avtobus?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 08:30:15№%:№%:2786108
20 февраля и далее: учёные перечислили даты следующих магнитных бурь    https://gazeta.a42.ru/lenta/news/20-fevralya-i-dalee-uchyonye-perechislili-daty-sleduyushih-m?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 08:00:27№%:№%:2786108
Житель Кузбасса купил подарки для друзей и теперь пойдёт под суд    https://gazeta.a42.ru/lenta/news/zhitel-kuzbassa-kupil-podarki-dlya-druzei-i-teper-poidyot-po?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 07:30:10№%:№%:2786108
Приставы закрыли опасную газовую заправку в Кемерове     https://gazeta.a42.ru/lenta/news/pristavy-zakryli-opasnuyu-gazovuyu-zapravku-v-kemerove?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 07:00:23№%:№%:2786108
Серьёзный пожар в частном секторе в Кемерове попал на видео     https://gazeta.a42.ru/lenta/news/seryoznyi-pozhar-v-chastnom-sektore-v-kemerove-popal-na-vide?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 06:30:13№%:№%:2786108
В Apple заявили о трудностях при использовании сервисов и ApplePay    https://gazeta.a42.ru/lenta/news/v-apple-zayavili-o-trudnostyah-pri-ispolzovanii-servisov-i-a?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 06:10:16№%:№%:2786108
Директор школы в Якутске прокомментировала информацию об отказе в приёме на обучение русскоязычных детей    https://gazeta.a42.ru/lenta/news/direktor-shkoly-v-yakutske-prokommentirovala-informaciyu-ob?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 05:50:08№%:№%:2786108
В Кемеровской области пропал 27-летний мужчина    https://gazeta.a42.ru/lenta/news/v-kemerovskoi-oblasti-propal-27-letnii-muzhchina?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 05:30:10№%:№%:2786108
Актриса из «Друзей» рассказала, как придумала смех, который всех бесит    https://gazeta.a42.ru/lenta/news/aktrisa-iz-druzei-rasskazala-kak-pridumala-smeh-kotoryi-vseh?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 05:00:11№%:№%:2786108
Жительница Кузбасса заплатит штраф за расцарапанное лицо полицейского    https://gazeta.a42.ru/lenta/news/zhitelnica-kuzbassa-zaplatit-shtraf-za-rascarapannoe-lico-po?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 04:40:07№%:№%:2786108
Бывшего мэра Тулы задержали на Кипре    https://gazeta.a42.ru/lenta/news/byvshego-mera-tuly-zaderzhali-na-kipre?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 04:20:19№%:№%:2786108
Назван богатейший человек в истории планеты    https://gazeta.a42.ru/lenta/news/nazvan-bogateishii-chelovek-v-istorii-planety?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 03:40:08№%:№%:2786108
Актриса «Игры престолов» рассказала о финале сериала    https://gazeta.a42.ru/lenta/news/aktrisa-igry-prestolov-rasskazala-o-finale-seriala?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 03:20:11№%:№%:2786108
В Кузбассе парни обчистили холодильник соседа    https://gazeta.a42.ru/lenta/news/v-kuzbasse-parni-obchistili-holodilnik-soseda?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 03:00:11№%:№%:2786108
Названа причина задержания российской актрисы в США    https://gazeta.a42.ru/lenta/news/nazvana-prichina-zaderzhaniya-rossiiskoi-aktrisy-v-ssha?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 02:40:10№%:№%:2786108
Жительница Омска с паспортом СССР получила документ нового образца    https://gazeta.a42.ru/lenta/news/zhitelnica-omska-s-pasportom-sssr-poluchila-dokument-novogo?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 02:20:33№%:№%:2786108
Раскрыта тайна загадочных пятен в гробнице Тутанхамона    https://gazeta.a42.ru/lenta/news/raskryta-taina-zagadochnyh-pyaten-v-grobnice-tutanhamona?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-02 02:00:30№%:№%:2786108
Россияне назвали главные условия для построения успешной карьеры    https://gazeta.a42.ru/lenta/news/rossiyane-nazvali-glavnye-usloviya-dlya-postroeniya-uspeshno?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-01 23:00:11№%:№%:2786108
В Кузбассе пенсионерка заплатила полмиллиона за бурлящую сметану    https://gazeta.a42.ru/lenta/news/v-kuzbasse-pensionerka-zaplatila-polmilliona-za-burlyashuyu?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-01 22:46:20№%:№%:2786108
Учёные рассказали, какие упражнения укрепят мужское сердце    https://gazeta.a42.ru/lenta/news/uchyonye-rasskazali-kakie-uprazhneniya-ukrepyat-muzhskoe-ser?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-01 22:25:10№%:№%:2786108
В России могут ввести наказание за клевету о прививках    https://gazeta.a42.ru/lenta/news/v-rossii-mogut-vvesti-nakazanie-za-klevetu-o-privivkah?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-01 22:00:15№%:№%:2786108
В Кузбассе алчный подросток подговорил приятелей совершить преступление в отношении пенсионера    https://gazeta.a42.ru/lenta/news/v-kuzbasse-alchnyi-podrostok-podgovoril-priyatelei-sovershit?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-01 21:40:15№%:№%:2786108
Лукашенко объяснил, почему жёны выгоняют мужей из дома    https://gazeta.a42.ru/lenta/news/lukashenko-obyasnil-pochemu-zhyony-vygonyayut-muzhei-iz-doma?utm_source=vk.com&utm_medium=a42_ru&utm_campaign=lenta№%:№%:2019-02-01 21:30:08№%:№%:2786108
