Хотите стать обладателем белоснежной улыбки?№%:№%:2019-01-28 11:50:20№%:№%:30488458
Минздрав Забайкалья увеличит количество бригад скорой помощи в выходные из-за эпидемии№%:№%:2019-02-01 10:03:17№%:№%:30488458
Глава округа попросил Осипова удвоить господдержку посёлка Агинского№%:№%:2019-02-01 09:48:10№%:№%:30488458
Пресс-служба губернатора опровергла назначение Гурулёва первым замом Осипова№%:№%:2019-02-01 09:36:07№%:№%:30488458
Первым заместителем Осипова стал генерал-лейтенант в отставке Гурулёв - источник   №%:№%:2019-02-01 09:24:32№%:№%:30488458
6-летний мальчик выпал из окна пятого этажа дома в Чите№%:№%:2019-02-01 09:03:14№%:№%:30488458
Жительнице Читы грозит 8 лет заключения за продажу таблеток для похудения из Таиланда№%:№%:2019-02-01 08:48:10№%:№%:30488458
Власти Забайкалья займутся развитием пункта пропуска между Россией и Китаем через Амур№%:№%:2019-02-01 08:36:08№%:№%:30488458
Первым заместителем Осипова стал генерал-лейтенант в отставке Гурулёв№%:№%:2019-02-01 08:01:00№%:№%:30488458
Центр эстетической стоматологии и имплантологии «Эсси» в Чите с 1 февраля по 1 марта запустит три выгодных акции на лечение кариеса и ультразвуковую гигиену полости рта.№%:№%:2019-02-01 08:00:11№%:№%:30488458
Школа моделизма и робототехники Start Junior в Чите объявила дополнительный набор детей и взрослых на занятия по робототехнике, моделизму и программированию, поскольку с февраля она начала работать и по выходным.№%:№%:2019-02-01 07:59:23№%:№%:30488458
Благотворительный спектакль в помощь девочке с лейкозом пройдёт в Чите№%:№%:2019-02-01 07:48:10№%:№%:30488458
Уровень загрязнения воздуха из-за горящей третий день свалки измеряют в Чите№%:№%:2019-02-01 07:24:06№%:№%:30488458
Жительница Читы отметила 100-летний юбилей№%:№%:2019-02-01 07:12:13№%:№%:30488458
Свиной грипп и подготовка к убийству школьников – топ новостей января№%:№%:2019-02-01 07:00:16№%:№%:30488458
Уровень загрязнения воздуха из-за горящей третий день свалки начали измерять в Чите№%:№%:2019-02-01 06:48:08№%:№%:30488458
Учебный центр [club167047110|Медикс Группа] 29 января провёл семинар для стоматологов «Прямая реставрация передних зубов. Эстетика, морфология, функция – ключи к успеху».№%:№%:2019-02-01 06:43:59№%:№%:30488458
Сторож автостоянки угнал Toyota Ist в Чите и нарушил правила движения№%:№%:2019-02-01 06:24:10№%:№%:30488458
Ребятки! Быстрый пятничный розыгрыш на скорость и реакцию😃№%:№%:2019-02-01 06:00:01№%:№%:30488458
Поликлиники Читы будут работать 5 февраля по режиму субботы№%:№%:2019-02-01 05:48:08№%:№%:30488458
Юмористическое шоу «Stand up» возродят в Чите№%:№%:2019-02-01 05:24:07№%:№%:30488458
Собрались учить китайский или давно хотели прочитать английских писателей в оригинале? №%:№%:2019-02-01 05:21:52№%:№%:30488458
Школы посёлка Агинское закрыли на карантин из-за эпидемии гриппа с 1 февраля№%:№%:2019-02-01 04:48:06№%:№%:30488458
ОПГ из 27 жителей Забайкалья пойдёт под суд за игорные заведения с доходом 30 млн руб.№%:№%:2019-02-01 04:36:08№%:№%:30488458
Четыре человека пострадали в ДТП со скорой в центре Читы№%:№%:2019-02-01 04:00:56№%:№%:30488458
Суд приговорил бомжа к 5 годам заключения за попытку изнасилования девушки в лесу в Чите№%:№%:2019-02-01 03:48:10№%:№%:30488458
18 инвестиционных проектов реализуют на 6 площадках единой ТОР «Забайкалье»№%:№%:2019-02-01 03:01:03№%:№%:30488458
Свет отключат в некоторых районах под Читой 1 февраля№%:№%:2019-02-01 02:24:10№%:№%:30488458
Автомобиль скорой помощи перевернулся на перекрёстке в Чите - очевидцы№%:№%:2019-01-31 17:26:05№%:№%:30488458
Осипов назвал отставку Михалёва полезной для Читы№%:№%:2019-01-31 17:12:05№%:№%:30488458
Заслуженный учитель РФ и экс-депутат Лысенко умер в родном забайкальском селе№%:№%:2019-01-31 16:02:05№%:№%:30488458
Следком возбудил уголовное дело после гибели двух детей при пожаре в Чите№%:№%:2019-01-31 15:03:54№%:№%:30488458
Сбербанк в Забайкалье прокомментировал хакерские звонки в России клиентам №%:№%:2019-01-31 14:48:09№%:№%:30488458
Территория опережающего развития в Забайкалье включит шесть площадок№%:№%:2019-01-31 14:38:40№%:№%:30488458
Осипов назвал отставку «вечного мэра» Михалёва полезной для Читы№%:№%:2019-01-31 14:24:03№%:№%:30488458
Шесть территорий опережающего развития появятся в Забайкалье№%:№%:2019-01-31 14:12:05№%:№%:30488458
Двое детей погибли в Чите при пожаре в пятиэтажке№%:№%:2019-01-31 12:36:06№%:№%:30488458
Профсоюзы Забайкалья призвали пересмотреть пенсионную реформу для Дальнего Востока№%:№%:2019-01-31 11:48:06№%:№%:30488458
Минсельхоз заявил о намерении к 2025 году удвоить посевные площади в Забайкалье№%:№%:2019-01-31 11:24:04№%:№%:30488458
Чеснок тут не поможет – как бороться с ОРВИ и гриппом№%:№%:2019-01-31 11:12:09№%:№%:30488458
Минкультуры приказало кинотеатрам увеличить паузы между сеансами из-за гриппа в Забайкалье№%:№%:2019-01-31 11:00:42№%:№%:30488458
Вкусное Забайкалье в Instagram: Чиа-пудинг и облепиховый курд№%:№%:2019-01-31 10:48:50№%:№%:30488458
Четыре района Забайкалья закрыли школы и детсады на карантин из-за эпидемии№%:№%:2019-01-31 10:24:06№%:№%:30488458
Краевое училище культуры в Чите закрылось на карантин№%:№%:2019-01-31 10:12:06№%:№%:30488458
Минздрав посоветовал забайкальцам не посещать Бурятию, где эпидемия гриппа сильнее№%:№%:2019-01-31 10:00:24№%:№%:30488458
Забайкалец получил штраф в 120 т.р. за сход вагонов из-за некачественного ремонта путей№%:№%:2019-01-31 09:24:05№%:№%:30488458
Судебные приставы Забайкалья разыскивают 15 сирот, чтобы вручить ключи от квартир№%:№%:2019-01-31 08:36:09№%:№%:30488458
Забайкалец украл 100 пачек сигарет и деньги из кассы магазина№%:№%:2019-01-31 08:12:10№%:№%:30488458
Должность помощника главы администрации утвердили в гордуме Читы№%:№%:2019-01-31 07:48:10№%:№%:30488458
Полицейские задержали сторожа автостоянки, угнавшего у читинки машину№%:№%:2019-01-31 07:24:27№%:№%:30488458
Семь новых пристроек к детским садам за 139,7 млн руб. появятся в Чите в 2019 году№%:№%:2019-01-31 07:12:09№%:№%:30488458
Виталий Толочкин и Зоя Чижкова из Забайкалья вновь поучаствуют в кастинге «Ты-супер!»№%:№%:2019-01-31 07:00:10№%:№%:30488458
Забайкалец украл 100 пачек сигарет и около 20 т.р. из кассы магазина№%:№%:2019-01-31 06:48:10№%:№%:30488458
Виталий Толочкин и Зоя Чижова из Забайкалья вновь поучаствуют в кастинге «Ты-супер!»№%:№%:2019-01-31 06:12:08№%:№%:30488458
Зимняя куртка за 350 рублей и пальто за 3 500 – в еженедельном обзоре Доски№%:№%:2019-01-31 05:48:10№%:№%:30488458
Нерчинский музей покажет редкие ретро-фотографии Крыма из коллекции купца Бутина№%:№%:2019-01-31 05:36:08№%:№%:30488458
Михалёв попросил депутатов гордумы не считать его решение об отставке политизированным№%:№%:2019-01-31 05:12:08№%:№%:30488458
Замминистра спорта РФ Косилов приехал в Читу и осмотрит спортивные объекты№%:№%:2019-01-31 05:00:48№%:№%:30488458
«Забайкальский призыв» 31 января завершит приём заявок в кадровый резерв минсельхоза края№%:№%:2019-01-31 04:48:11№%:№%:30488458
Власти Читы ввели режим ЧС на мусорном полигоне из-за пожара№%:№%:2019-01-31 04:00:23№%:№%:30488458
Минтер Забайкалья направил дополнительную технику для тушения мусорного полигона в Чите№%:№%:2019-01-31 03:48:11№%:№%:30488458
Повысить эффективность любого объявления на Доске «Чита.Ру» поможет услуга выделения№%:№%:2019-01-31 03:36:11№%:№%:30488458
Заболеваемость ОРВИ и гриппом резко увеличилась в Агинском округе№%:№%:2019-01-31 03:12:08№%:№%:30488458
Как сохранить отношения в разлуке с любимой№%:№%:2019-01-31 03:00:37№%:№%:30488458
Сенатор Михайлов предложил увеличить запас топлива на бирже для остановки роста цен№%:№%:2019-01-31 02:24:09№%:№%:30488458
Осипов предложил властям Читы ввести режим ЧС из-за пожара на городской свалке№%:№%:2019-01-31 02:12:13№%:№%:30488458
Кефер на месте рассказал Осипову о тушении мусорного полигона в Чите№%:№%:2019-01-31 02:00:23№%:№%:30488458
Кефер и Ванчиков отчитались на месте перед Осиповым за пожар на мусорном полигоне в Чите№%:№%:2019-01-30 17:48:05№%:№%:30488458
Прежний собственник горящего в Чите мусорного полигона обвинил в пожаре нынешнего№%:№%:2019-01-30 16:36:04№%:№%:30488458
Как сохранить отношения в разлуке с любимой№%:№%:2019-01-30 16:24:07№%:№%:30488458
Осипов осмотрит горящую больше суток городскую свалку в Чите№%:№%:2019-01-30 16:19:39№%:№%:30488458
Прокуратура предостерегла директора школы в Дульдурге от закрытия тёплого туалета№%:№%:2019-01-30 15:24:09№%:№%:30488458
Минэконом РФ предложило выставлять на торги дешёвый конфискат - КоммерсантЪ№%:№%:2019-01-30 14:36:06№%:№%:30488458
Иномарку угнали с автостоянки в Центральном районе Читы №%:№%:2019-01-30 13:00:08№%:№%:30488458
«Один день»: Из жизни танцующей школьницы№%:№%:2019-01-30 12:03:00№%:№%:30488458
Павел Волжин стал исполнительным директором забайкальской «Опоры России»№%:№%:2019-01-30 11:48:09№%:№%:30488458
ЗабЖД и правительство края начнут строительство школы и детсада в Могзоне в 2019 году№%:№%:2019-01-30 11:36:05№%:№%:30488458
«Тайны истории»: Загадочный груз императрицы№%:№%:2019-01-30 11:12:06№%:№%:30488458
Суд оштрафовал врача на 250 тыс. руб. в Чите за перелом бедренной кости ребёнку с ДЦП №%:№%:2019-01-30 10:48:08№%:№%:30488458
№%:№%:2019-01-30 10:23:01№%:№%:30488458
№%:№%:2019-01-30 09:54:17№%:№%:30488458
Судья опроверг, что осуждённый за пьяную езду Щебеньков — сын депутата№%:№%:2019-01-30 09:48:08№%:№%:30488458
Городская свалка загорелась ещё 29 января, сейчас ситуация под контролем - власти Читы№%:№%:2019-01-30 09:08:59№%:№%:30488458
Полпред президента 31 января проведёт в Чите совещание о развитии Забайкалья№%:№%:2019-01-30 08:36:08№%:№%:30488458
Свиной грипп выявлен у 94% заболевших в Забайкалье, но это не страшно - инфекционист№%:№%:2019-01-30 07:48:11№%:№%:30488458
Чикояне переживают за кедр из-за раздачи дальневосточных гектаров - Егоров№%:№%:2019-01-30 07:12:09№%:№%:30488458
Мусорный полигон загорелся на западе Читы№%:№%:2019-01-30 07:01:46№%:№%:30488458
Пенсионерка из Читы побывала на улице, где жила во время блокады Ленинграда№%:№%:2019-01-30 06:36:07№%:№%:30488458
БГК договорилась о кредите в 1,45 млрд долларов на строительство комбината в Забайкалье№%:№%:2019-01-30 06:24:06№%:№%:30488458
Реестр легальных свалок Забайкалья появится на сайте Росприроднадзора№%:№%:2019-01-30 06:12:06№%:№%:30488458
Минздрав призвал при гриппе идти в поликлиники, чтобы разгрузить больницы Читы№%:№%:2019-01-30 06:00:28№%:№%:30488458
Сеть лингвистических школ London Express запустила набор детей от 11 до 17 лет на летнее обучение английскому языку в столице Ирландии.№%:№%:2019-01-30 06:00:04№%:№%:30488458
Власти поставили цель открыть в Забайкалье два мусоропереробатывающих завода за 3 года№%:№%:2019-01-30 05:48:12№%:№%:30488458
Кон: До конца жизни буду рядом с бизнесом№%:№%:2019-01-30 05:36:08№%:№%:30488458
«Олерон+» пообещал учесть мнения забайкальцев в новой схеме обращения с отходами№%:№%:2019-01-30 05:24:10№%:№%:30488458
Регоператор заявил о готовности убирать мусор в районах Забайкалья, где он не вывозится№%:№%:2019-01-30 05:12:07№%:№%:30488458
Женщина погибла во врезавшейся в дерево Honda на трассе в Забайкалье№%:№%:2019-01-30 05:01:13№%:№%:30488458
Провести праздники для детей можно и без надоевших чаепитий и дискотек в школьных спортзалах. Например, в "Доброграде" - там разработали новый экшн-квест, а ещё можно отпраздновать победу сладостями, потанцевать, пофотографироваться в фотобудке, покататься на скутерах и посоревноваться с супертехнологичным роботом.№%:№%:2019-01-30 04:50:00№%:№%:30488458
Правительство РФ запретило продавать молоко на одних полках с другими продуктами№%:№%:2019-01-30 04:48:16№%:№%:30488458
Женщина погибла в столкнувшейся с деревом Honda на трассе в Забайкалье№%:№%:2019-01-30 04:36:11№%:№%:30488458
Ледовый городок в Краснокаменске не дожил до конца зимы из-за вандалов№%:№%:2019-01-30 04:12:08№%:№%:30488458
Забайкалье оказалось без представителя в Агентстве Дальнего Востока№%:№%:2019-01-30 04:00:25№%:№%:30488458
Посмотрите, какое жильё можно купить в Новосибирске: "Окна двухкомнатных квартир выходят на разные стороны – во двор и на озеро. Также в квартирах комплекса «Лето» напротив входа располагается большой холл, а не ванная комната, поэтому они ощущаются очень просторными". №%:№%:2019-01-30 03:52:56№%:№%:30488458
Власти Забайкалья в 50 раз завысили аренду фермеру за землю в Агинском№%:№%:2019-01-30 03:48:09№%:№%:30488458
Правительство РФ запретило продавать молоко на одних полках с другими продуктами№%:№%:2019-01-30 03:36:08№%:№%:30488458
Мэрия об уборке в Чите: Не успевает отъехать мусоровоз, как территория снова засоряется№%:№%:2019-01-30 02:48:09№%:№%:30488458
Суд в Забайкалье приговорил мужчину, убившего пассажира поезда ножом из вагона-ресторана№%:№%:2019-01-30 02:12:07№%:№%:30488458
Власти Забайкалья в 50 раз завысили аренду фермеру за землю в Агинске№%:№%:2019-01-29 17:01:50№%:№%:30488458
Нехай рулит – врио губернатора сменил руководителя своей администрации№%:№%:2019-01-29 16:24:04№%:№%:30488458
ЗабЖД получит 42 новых локомотива в 2019 году№%:№%:2019-01-29 16:02:36№%:№%:30488458
Следователи возбудили уголовное дело на забайкальца за оскорбление полицейского№%:№%:2019-01-29 15:36:07№%:№%:30488458
Корпорация развития ДВ создаст проектные офисы для работы с инвесторами в Чите и Улан-Удэ№%:№%:2019-01-29 14:48:07№%:№%:30488458
Минюст предложил не наказывать за коррупцию «из-за обстоятельств непреодолимой силы»№%:№%:2019-01-29 13:48:04№%:№%:30488458
«Опора России» в Забайкалье планирует открыть бюро по защите прав предпринимателей№%:№%:2019-01-29 13:24:07№%:№%:30488458
Суд увеличил сумму ущерба Чите от махинаций экс-заммэра Шуляковского - до 24 млн р.№%:№%:2019-01-29 12:24:03№%:№%:30488458
Суд пересмотрел сумму ущерба Чите от махинаций экс-заммэра Шуляковского - до 24 млн р.№%:№%:2019-01-29 12:03:13№%:№%:30488458
«Один день»: Покорение горы Соболиной№%:№%:2019-01-29 11:48:05№%:№%:30488458
Минсоц Забайкалья предложил выдавать жилищные сертификаты для сирот№%:№%:2019-01-29 11:36:06№%:№%:30488458
Глава КФХ в Чите и его пособник получили условные сроки за хищение грантовых 3,6 млн р.№%:№%:2019-01-29 11:01:36№%:№%:30488458
Забайкалье осталось без представителя в Агентстве Дальнего Востока№%:№%:2019-01-29 10:48:09№%:№%:30488458
Предприниматель в Забайкальске решила поднять цену хлеба на 18% «из-за удорожания всего»№%:№%:2019-01-29 10:12:07№%:№%:30488458
Как экономить на авиабилетах. Семь советов№%:№%:2019-01-29 10:02:55№%:№%:30488458
Минздрав края не зарегистрировал ни одного случая смерти от гриппа и ОРВИ за эпидсезон№%:№%:2019-01-29 09:36:11№%:№%:30488458
Суд признал сына депутата Щебенькова виновным в пьяной езде№%:№%:2019-01-29 08:53:10№%:№%:30488458
Пенсионерка из Читы лишилась 250 тыс. руб. из-за объявления на «Авито»№%:№%:2019-01-29 08:36:10№%:№%:30488458
Завершение строительства школы в Баляге обойдётся в 800 миллионов рублей№%:№%:2019-01-29 07:48:06№%:№%:30488458
Традиционный ректорский приём проходит в Читинской государственной медицинской академии каждый год в День российского студенчества. Там награждают лучших студентов и ординаторов.№%:№%:2019-01-29 07:28:00№%:№%:30488458
Жители Яблоново попросили власти Забайкалья понизить статус поселения до сельского№%:№%:2019-01-29 07:00:21№%:№%:30488458
Нехаев планирует сделать работу исполнительной власти в Забайкалье максимально открытой№%:№%:2019-01-29 06:48:10№%:№%:30488458
Проголодались? Столовая "Сытновъ" доставит вкусные, сытные обеды по доступным ценам: горячие блюда – от 100 рублей, салаты и супы – от 50 рублей. Скорее заказывайте!№%:№%:2019-01-29 06:27:01№%:№%:30488458
Групповая вспышка свиного гриппа зарегистрирована среди учащихся техникумов в Забайкалье№%:№%:2019-01-29 06:24:07№%:№%:30488458
Власти Забайкалья хотят обязать землевладельцев отвечать за благоустройство№%:№%:2019-01-29 06:12:06№%:№%:30488458
Власти решили обязать всех землевладельцев Забайкалья отвечать за благоустр№%:№%:2019-01-29 06:00:14№%:№%:30488458
Мобильная приёмная прокуратуры Забайкалья 3 недели будет работать в районах края№%:№%:2019-01-29 05:36:05№%:№%:30488458
Вашему ребёнку осень уже нужно идти в школу, а он не умеет читать и считать? Не беда! Нужно лишь записаться на 4-месячные экспресс-курсы в центре "Орнамент". Там его научат читать, подготовят руку к письму и расскажут об основах сложения и вычитания. И учиться будет гораздо проще.№%:№%:2019-01-29 05:18:39№%:№%:30488458
Беспокойная тень губернаторов. Вольная биография Сергея Нехаева№%:№%:2019-01-29 05:00:29№%:№%:30488458
Бывший вице-губернатор Приморья возглавил администрацию губернатора Забайкалья№%:№%:2019-01-29 04:48:09№%:№%:30488458
Читинец за неделю оплатил более 80 тыс. руб. штрафов ГИБДД после изъятия у него машины№%:№%:2019-01-29 04:12:09№%:№%:30488458
Турсабаев: В Черновском районе очень нужен кинотеатр№%:№%:2019-01-29 03:48:14№%:№%:30488458
Краевая инфекционная больница в Чите переполнена из-за вспышки гриппа и ОРВИ№%:№%:2019-01-29 03:12:07№%:№%:30488458
Что делать, если влюбился во вторую половинку друга? - опрос «Чита.Ру»№%:№%:2019-01-29 03:00:36№%:№%:30488458
Семья в Шилке не получила выплаты после наводнения из-за отсутствия денег в бюджете№%:№%:2019-01-29 02:12:10№%:№%:30488458
Патриарх Кирилл посетит Забайкальский край, где ещё не был — РПЦ№%:№%:2019-01-28 17:24:06№%:№%:30488458
Что делать, если влюбился во вторую половинку друга? - опрос «Чита.Ру»№%:№%:2019-01-28 17:03:25№%:№%:30488458
Видео аварии, когда на перекрёстке улиц Богомягкова и Кочеткова в Чите перевернулась иномарка, оказалось в распоряжении "Чита.Ру". https://www.chita.ru/news/125741/№%:№%:2019-01-28 16:48:31№%:№%:30488458
Одиннадцатиклассник покончил с собой в Чите№%:№%:2019-01-28 15:36:03№%:№%:30488458
Роспотребнадзор назвал эпидемией ситуацию с гриппом в Чите№%:№%:2019-01-28 13:36:07№%:№%:30488458
Власти отложили ремонт улицы Горького до 2022 года из-за замены теплосетей в Чите№%:№%:2019-01-28 12:24:03№%:№%:30488458
Осипов пообещал поддерживать древообрабатывающую промышленность в Забайкалье№%:№%:2019-01-28 12:12:05№%:№%:30488458
«Один день»: Забайкальский художник в Лос-Анджелесе№%:№%:2019-01-28 12:01:58№%:№%:30488458
Власти Забайкалья пообещали поддерживать древообрабатывающую промышленность в крае№%:№%:2019-01-28 11:48:09№%:№%:30488458
Прокуратура передала в суд дело о смерти школьника по вине сотрудника «Читаэнерго»№%:№%:2019-01-28 11:12:05№%:№%:30488458
Ежедневные медосмотры начнутся в детсадах Читы с 29 января№%:№%:2019-01-28 10:48:06№%:№%:30488458
Власти Читы закрыли школы на карантин и запретили массовые мероприятия из-за гриппа№%:№%:2019-01-28 10:41:14№%:№%:30488458
Осипов поручил проверить треснувшие дома для переселенцев в Могзоне№%:№%:2019-01-28 10:24:05№%:№%:30488458
Член ОП Забайкалья Аглямов предложил построить аквапарк в Чите№%:№%:2019-01-28 10:12:06№%:№%:30488458
Читинец получил 2,5 года колонии за пьяное ДТП с погибшим таксистом№%:№%:2019-01-28 10:03:43№%:№%:30488458
Директор лесничества создал группу «чёрных лесорубов» в Забайкалье - полиция№%:№%:2019-01-28 09:48:05№%:№%:30488458
Таможня спрогнозировала увеличение туристов на МАПП «Забайкальск» с 5 февраля№%:№%:2019-01-28 09:36:06№%:№%:30488458
Опрос жителей Читы о врио губернатора появился в новой «Чите наизнанку»№%:№%:2019-01-28 09:24:07№%:№%:30488458
Неизвестные сожгли дом директора природного парка «Арей» в Забайкалье№%:№%:2019-01-28 09:12:10№%:№%:30488458
Не вошедшие в нацпрграмму идеи по развитию ДФО будут рассматривать на региональном уровне№%:№%:2019-01-28 09:00:22№%:№%:30488458
Роспотребнадзор: Детские сады Читы закрывать на карантин не будут№%:№%:2019-01-28 08:48:10№%:№%:30488458
Следствие уточнило информацию о предполагаемом насильнике несовершеннолетней в Чите№%:№%:2019-01-28 08:36:11№%:№%:30488458
Триста человек подписали петицию о строительстве крытого скейт-парка в Чите№%:№%:2019-01-28 08:00:13№%:№%:30488458
В 15 выпуске программы "ЧИТА наизнанку" мы спросили у жителей Читы мнение о новом губернаторе, узнали о том, что будет, если слушать свой внутренний голос, покажем, как выглядят семейные переписки в мессенджерах и проведем один день на портале читару. Смотрим,крошки-макарошки! №%:№%:2019-01-28 07:42:57№%:№%:30488458
Школы Читы закроют на карантин с 29 января№%:№%:2019-01-28 07:36:57№%:№%:30488458
«Чита наизнанку»: Один день с «Чита.Ру»№%:№%:2019-01-28 07:12:07№%:№%:30488458
Двое жителей Забайкалья похитили норковые шубы меховой ярмарки на 800 тыс. руб.№%:№%:2019-01-28 07:00:51№%:№%:30488458
Одно из новшеств детского стоматологического отделения ЧГМА - прибор Diagnocam KaVo, который можно назвать умным. Он помогает доктору выявлять самый ранний и, так называемый, «скрытый» кариес. Обычно он «прячется» в местах, где его сложно даже увидеть, не говоря о том, чтобы уточнить расположение и глубину полости без рентгеновского излучения.№%:№%:2019-01-28 06:58:50№%:№%:30488458
Кочергин о своём увольнении: Люди должны уходить командами№%:№%:2019-01-28 06:48:08№%:№%:30488458
Читинская таможня: Ситуация на МАПП «Забайкальск» нормализовалась№%:№%:2019-01-28 06:36:07№%:№%:30488458
«Культурный слой»: Преодолевший эго Максим Хавень№%:№%:2019-01-28 06:12:09№%:№%:30488458
Собрались менять входную дверь в доме или квартире? Даже если нет, подумайте над этим - в салоне Torex Premium на Бабушкина, 4, до сих пор действуют цены 2018 года без учёта повышения НДС.№%:№%:2019-01-28 06:07:50№%:№%:30488458
Численность населения Забайкалья за год сократилась на 3,4 тыс. человек№%:№%:2019-01-28 05:36:10№%:№%:30488458
Паперкрафт: пробуем делать объёмные фигурки из бумаги№%:№%:2019-01-28 05:12:12№%:№%:30488458
Кочергин покинул правительство Забайкальского края№%:№%:2019-01-28 05:00:58№%:№%:30488458
Если у вас небольшой бизнес, или вы только планируете заняться предпринимательством, то наверняка думали над тем, что будет нужен бухгалтер. Но знали ли вы, что можно обойтись без него и экономить, скажем, по 40 тысяч рублей ежемесячно?№%:№%:2019-01-28 04:55:42№%:№%:30488458
«Агентство ликвидации долгов» исключили из реестра коллекторов№%:№%:2019-01-28 04:48:07№%:№%:30488458
Конкурсы «Учитель года» и «Воспитатель года» пройдут в Забайкалье в марте№%:№%:2019-01-28 04:12:07№%:№%:30488458
"Милан-обувь" продолжает распродажу зимней, летней и демисезонной обуви итальянских фабрик со скидками от 50% до 70%. Зимние и демисезонные сапоги, ботинки, ботильоны, летние стильные босоножки и туфли. Сейчас всё ещё можно успеть приобрести обувь по ценам ниже закупочных.№%:№%:2019-01-28 03:51:02№%:№%:30488458
Cовет отцов создадут в Забайкалье№%:№%:2019-01-28 03:48:10№%:№%:30488458
Пассажир пострадал в ДТП по вине пьяного водителя в Забайкалье№%:№%:2019-01-28 03:00:41№%:№%:30488458
Глава «Точки кипения» Ломакин прошёл в финал конкурса «Лидеры России»№%:№%:2019-01-28 02:36:08№%:№%:30488458
Гендиректор ФК «Чита»: Клуб даёт главному тренеру ещё один шанс№%:№%:2019-01-28 02:12:09№%:№%:30488458
Пробка на пункте пропуска Забайкальск спустя 2 суток начала двигаться - очевидец№%:№%:2019-01-28 02:00:50№%:№%:30488458
Пробка на пункте пропуска Забайкльск спустя 2 суток начала двигаться - очевидец№%:№%:2019-01-27 16:48:14№%:№%:30488458
Больше 118 млн руб. необходимо Чите на создание дополнительных санприёмников мусора№%:№%:2019-01-27 16:12:07№%:№%:30488458
Замсекретаря ОП РФ 28-29 января посетит Забайкалье для обсуждения программ развития ДФО№%:№%:2019-01-27 15:36:07№%:№%:30488458
Полицейские Иркутска задержали скрывавшегося 5 лет после 28 краж забайкальца№%:№%:2019-01-27 14:12:07№%:№%:30488458
Чита может получить более 143 млн р. по программе «Чистая вода» в 2019 году№%:№%:2019-01-27 13:36:07№%:№%:30488458
