РЖД проработают решения хаба в ОЭЗ «Моглино»№%:№%:2019-02-01 21:29:50№%:№%:1205247
Фотофакт: Возле бывшего автовокзала в поселке Ямм развели свалку№%:№%:2019-01-31 16:48:36№%:№%:1205247
Прокуратура: ГППО «Славяне» не выполняет обязательств по перевозке школьников в Кунье№%:№%:2019-01-31 16:48:30№%:№%:1205247
Псковичей приглашают принять участие в ярмарке вакансий№%:№%:2019-01-31 16:39:22№%:№%:1205247
Фотофакт: Новые дорожные знаки на Школьной№%:№%:2019-01-31 16:11:02№%:№%:1205247
«Танцы с нуля» - студия «Грация» продолжает набор на весенний курс№%:№%:2019-01-31 14:12:27№%:№%:1205247
«Супер фитнес» предлагает начать заниматься бесплатно№%:№%:2019-01-31 13:57:26№%:№%:1205247
Вопросы корректировки плана ремонта фасадов на период Ганзы-2019 обсудили на совещании с управляющими компаниями Пскова№%:№%:2019-01-31 13:34:35№%:№%:1205247
В ситуации, в которой оказался «Псковпассажиравтотранс», частично виноваты депутаты - Александр Котов№%:№%:2019-01-31 13:04:52№%:№%:1205247
Игорь Сиротин назначен советником главы города Пскова№%:№%:2019-01-31 12:55:49№%:№%:1205247
Псковскому рабочему на производстве электропилой отрезало кисть№%:№%:2019-01-31 12:05:14№%:№%:1205247
Повышение стоимости проезда до 25 рублей существенно не изменило положение «Псковпассажиравтотранса» - Игорь Сильченков№%:№%:2019-01-31 11:59:59№%:№%:1205247
Петр Алексеенко предложил провести референдум по строительству химкомбината под Псковом№%:№%:2019-01-31 11:23:39№%:№%:1205247
В Великих Луках наказали медсестру, которая тянула с вызовом врача для осмотра больного ребенка№%:№%:2019-01-31 11:18:14№%:№%:1205247
В кафе «Вкус и цвет» в Пскове каждый четверг - женский день№%:№%:2019-01-31 11:12:05№%:№%:1205247
В Пскове женщина обратилась в больницу после поездки на такси№%:№%:2019-01-31 10:43:29№%:№%:1205247
Казаки Великолукско-Невельского округа будут добиваться реабилитации Лаврентия Берии№%:№%:2019-01-31 10:30:37№%:№%:1205247
Псковичка получила травмы при резком торможении автобуса№%:№%:2019-01-31 10:29:42№%:№%:1205247
«Добрый рок» запустил на краудфандинговой площадке «Планета» компанию сбора средств на проведение летнего гала-концерта№%:№%:2019-01-31 09:41:30№%:№%:1205247
Оштрафован проигнорировавший обращение о сгоревшей крыше в Славковичах чиновник№%:№%:2019-01-31 09:29:53№%:№%:1205247
Псковские пограничники пресекли незаконный вывоз из страны юбилейных медалей№%:№%:2019-01-31 08:55:13№%:№%:1205247
Мальчика сбила женщина на «Мицубиси» в Уграде№%:№%:2019-01-31 08:49:40№%:№%:1205247
Мир набекрень№%:№%:2019-01-31 07:40:53№%:№%:1205247
Переход ТВ-вещания в Псковской области на «цифру» будет сопровождаться информационными акциями№%:№%:2019-01-30 21:22:42№%:№%:1205247
№%:№%:2019-01-30 20:39:00№%:№%:1205247
Рейтинг уборки псковских мостов от снега составили общественники. ВИДЕО№%:№%:2019-01-30 20:05:24№%:№%:1205247
Депутат Госдумы предложил запретить водителям курить за рулем№%:№%:2019-01-30 19:52:46№%:№%:1205247
Можно ли купить квартиру, имея средний заработок? №%:№%:2019-01-30 19:40:00№%:№%:1205247
Конец «амнистии» капиталов и рост социальных выплат: что еще ждет россиян в феврале№%:№%:2019-01-30 18:53:46№%:№%:1205247
Иван Цецерский дал администрации города две недели на решение проблем со строительством кладбища «Крестовское»№%:№%:2019-01-30 18:30:37№%:№%:1205247
С 1 февраля будет запрещен въезд на улицу Школьная со стороны Набата№%:№%:2019-01-30 17:55:40№%:№%:1205247
Заместитель председателя Псковского районного Собрания Владимир Шураев сложил депутатские полномочия№%:№%:2019-01-30 17:40:43№%:№%:1205247
В Псковской области намерены расширить список получателей компенсации расходов по взносам на капремонт№%:№%:2019-01-30 17:21:22№%:№%:1205247
«Ганзейская дирекция» опровергла информацию об объявленном конкурсе по проведению конного шоу на псковской Ганзе№%:№%:2019-01-30 17:21:05№%:№%:1205247
Интерактив: Только вертолетом можно пролететь№%:№%:2019-01-30 17:16:35№%:№%:1205247
Установлены IP-адреса, с которых поступили сообщения об угрозе минирования ряда объектов Псковской области№%:№%:2019-01-30 17:13:29№%:№%:1205247
Реплика Донецкого: Народ VS Дубровская№%:№%:2019-01-30 16:16:11№%:№%:1205247
Актриса Наталья Кузнецова: Фрекен Бок - фигура не только комическая…№%:№%:2019-01-30 15:46:29№%:№%:1205247
Зима вернется в Псков после 5 февраля№%:№%:2019-01-30 15:36:40№%:№%:1205247
И.о. начальника комитета по туризму Псковской области назначили Ольгу Качнову№%:№%:2019-01-30 15:34:51№%:№%:1205247
Коррупция непреодолимой силы№%:№%:2019-01-30 15:08:04№%:№%:1205247
Александр Козловский и врио ректора ПсковГУ обсудили вопросы сотрудничества№%:№%:2019-01-30 13:52:57№%:№%:1205247
«ПИК60» приглашает псковичей на цирковое шоу№%:№%:2019-01-30 12:43:44№%:№%:1205247
Подготовительное отделение ПсковГУ приглашает на индивидуальные занятия по подготовке к ЕГЭ№%:№%:2019-01-30 12:12:06№%:№%:1205247
Андрей Моргунов стал новым лидером «Молодой Гвардии Единой России» в Псковской области№%:№%:2019-01-30 11:57:28№%:№%:1205247
МЧС: В Пскове ни одна из «заминированных» школ не горит №%:№%:2019-01-30 11:41:17№%:№%:1205247
Администрация области сообщила: Объекты соцсферы и образования в Псковской области привлекли внимание «телефонных террористов». №%:№%:2019-01-30 11:07:06№%:№%:1205247
Мужчине, сбившему детей на остановке в Опочке, продлен срок содержания под стражей№%:№%:2019-01-30 09:42:57№%:№%:1205247
Великолучане попались на удочку мошенников, пытаясь купить автомобиль и устроиться сиделкой №%:№%:2019-01-30 09:35:00№%:№%:1205247
Более 50% участников опроса на ПЛН категорически против объединения Псковского и Изборского музеев№%:№%:2019-01-30 09:33:35№%:№%:1205247
Из-за поджога горел автомобиль «Ауди» на улице Венской№%:№%:2019-01-30 08:56:25№%:№%:1205247
«Не твое собачье дело»: Почему в Пскове тормозят обслуживание «желтых урн»№%:№%:2019-01-30 08:48:05№%:№%:1205247
Жители деревни перепутали валежник с сухостоем и получили штраф№%:№%:2019-01-30 07:15:43№%:№%:1205247
Псковские археологи сообщили о находке погребений XIII-XIV вв.№%:№%:2019-01-29 21:33:10№%:№%:1205247
Оттепель прогнозируют синоптики завтра в Псковской области№%:№%:2019-01-29 20:44:13№%:№%:1205247
Москва. Кремль. Ведерников№%:№%:2019-01-29 20:44:07№%:№%:1205247
Михаил Ведерников принял участие в совещании Дмитрия Медведева по комплексному развитию села№%:№%:2019-01-29 20:43:40№%:№%:1205247
Великолучанам не попасть на прием к детскому окулисту№%:№%:2019-01-29 17:27:45№%:№%:1205247
Псковский коммунист Анатолий Копосов празднует сегодня 75-летие№%:№%:2019-01-29 16:59:15№%:№%:1205247
Магазин «Mango» предлагает псковичам скидки до 70%№%:№%:2019-01-29 16:46:44№%:№%:1205247
Реплика Донецкого: Коммунальный «обморок»№%:№%:2019-01-29 16:22:58№%:№%:1205247
Уникальные писатели-биологи проводят творческий конкурс для юных псковских читателей №%:№%:2019-01-29 16:08:31№%:№%:1205247
Жители Изборска и мастера народного творчества попросили губернатора не назначать Наталию Дубровскую руководителем объединенного музея№%:№%:2019-01-29 15:59:21№%:№%:1205247
В Псковском Кремле установили тактильно-звуковую мнемосхему объектов№%:№%:2019-01-29 15:50:33№%:№%:1205247
Выходит в свет новый вариант книги «Шаг в бессмертие» о подвиге 6-й роты№%:№%:2019-01-29 15:08:55№%:№%:1205247
№%:№%:2019-01-29 14:56:11№%:№%:1205247
Еврокомиссия: Эстония нарушает правила Шенгенской зоны, взимая плату за стоянку машин на границе с РФ№%:№%:2019-01-29 14:06:38№%:№%:1205247
В Год театра в Псковской области пройдет около 30 тематических мероприятий№%:№%:2019-01-29 13:40:58№%:№%:1205247
Молодежный центр приглашает псковичей на традиционные «Ледовые забавы»№%:№%:2019-01-29 13:20:52№%:№%:1205247
Двое госслужащих из Псковской области попали в реестр лиц, уволенных в связи с утратой доверия в 2018 году№%:№%:2019-01-29 13:18:40№%:№%:1205247
«Супер фитнес» дарит новичкам бесплатную неделю фитнеса№%:№%:2019-01-29 13:13:44№%:№%:1205247
Михаил Ведерников и митрополит Тихон обсудили с Сергеем Степашиным восстановление псковских святынь№%:№%:2019-01-29 12:59:45№%:№%:1205247
На 37-ю «Лыжню России» приглашают жителей Псковской области 9 февраля№%:№%:2019-01-29 12:32:04№%:№%:1205247
В 2018 году в санаториях Псковской области по профсоюзным путевкам отдохнуло 1770 человек№%:№%:2019-01-29 12:27:53№%:№%:1205247
В Пскове перекрыт выезд с дворового проезда между Петровской, 49 и Конной, 28№%:№%:2019-01-29 12:20:46№%:№%:1205247
5 апреля псковским зрителям покажут комедию «ЗдраСьте, я Ваша тетя!»№%:№%:2019-01-29 11:44:50№%:№%:1205247
Великолучан просят помочь в розыске угнанной машины№%:№%:2019-01-29 11:30:07№%:№%:1205247
«Песни странствующего подмастерья» псковичи услышат в исполнении солиста Мариинского театра Ярослава Петряника№%:№%:2019-01-29 11:29:38№%:№%:1205247
В Опочке задержан мужчина, который угрожал ножом посетителям кафе№%:№%:2019-01-29 11:22:50№%:№%:1205247
Родителям на заметку: Зачем военкомату Псковской области 16-летние дети №%:№%:2019-01-29 10:13:53№%:№%:1205247
Жительница Великолукского района заплатит штраф более 100 тыс. рублей за нелегальное потребление электроэнергии №%:№%:2019-01-29 10:01:04№%:№%:1205247
Продам авто в хорошем состоянии. В России с 2006 года. Оцинкованный кузов, зимняя и летняя резина на дисках. Претензий по кузову нет. Салон после химчистки, установлена хорошая сенсорная магнитола. Подвеска ремонтировалась в ноябре 2018 года. Автомобиль шустрый и экономичный. Есть бортовой компьютер. №%:№%:2019-01-29 09:50:28№%:№%:1205247
Три автомашины столкнулись на улице Коммунальной в Пскове, пострадала женщина№%:№%:2019-01-29 08:50:18№%:№%:1205247
Труп пенсионерки обнаружен в доме на улице Винатовского в Великих Луках№%:№%:2019-01-29 08:37:40№%:№%:1205247
Мебельный цех горел в Великих Луках№%:№%:2019-01-29 08:06:39№%:№%:1205247
Мусор Отечества нам сладок и приятен№%:№%:2019-01-28 22:05:35№%:№%:1205247
Противопожарный рейд прошел в частном секторе Пскова№%:№%:2019-01-28 20:42:35№%:№%:1205247
Шахматный турнир посвятили 76-й годовщине освобождения Великих Лук№%:№%:2019-01-28 20:28:09№%:№%:1205247
Билеты на балет «Лебединое озеро» появились в продаже в кассе БКЗ№%:№%:2019-01-28 20:02:03№%:№%:1205247
Три месяца осталось до старта Псковского марафона PRO SPORT 2019№%:№%:2019-01-28 19:50:08№%:№%:1205247
Спортивный семейный праздник прошел в ППК№%:№%:2019-01-28 19:45:41№%:№%:1205247
Реплика Донецкого: Ганзейский знак позора№%:№%:2019-01-28 19:20:17№%:№%:1205247
Средняя зарплата научных сотрудников Псковской области, благодаря майскому указу президента, выросла в 2,4 раза№%:№%:2019-01-28 19:14:49№%:№%:1205247
Псковичка стала бронзовым призером Международного шахматного фестиваля в Орше№%:№%:2019-01-28 18:57:46№%:№%:1205247
Заслуженный артист России Виктор Яковлев примет участие в программе «Детоньки мои...»№%:№%:2019-01-28 18:32:19№%:№%:1205247
Владимир Путин включил псковского губернатора в новый состав президиума Госсовета№%:№%:2019-01-28 18:21:10№%:№%:1205247
Более 14 лет проведет в колонии особого режима 56-летний педофил-рецидивист№%:№%:2019-01-28 17:53:31№%:№%:1205247
Пскович после демобилизации совратил несовершеннолетнюю№%:№%:2019-01-28 17:35:34№%:№%:1205247
Вызовы-2019, или Год серьезных испытаний№%:№%:2019-01-28 16:44:59№%:№%:1205247
В новом здании Псковского перинатального центра родилась первая девочка№%:№%:2019-01-28 16:37:08№%:№%:1205247
В Псковской области эпидпорог по ОРВИ превышен на 9,1%№%:№%:2019-01-28 16:22:57№%:№%:1205247
Пропала собака в районе дома 7а на Комиссаровском переулке в Пскове. Нашедшему вознаграждение гарантируется. Обращаться по телефону 89118911493, Татьяна№%:№%:2019-01-28 15:28:20№%:№%:1205247
В ТРК «Акваполис» прошел праздник, посвященный Татьяниному дню и Дню студента№%:№%:2019-01-28 15:25:44№%:№%:1205247
«Жанна - сильная женщина, на таких у нас страна держится…»№%:№%:2019-01-28 15:15:47№%:№%:1205247
23 юных псковича получили паспорта из рук ветерана ВОВ и главы города№%:№%:2019-01-28 14:31:55№%:№%:1205247
№%:№%:2019-01-28 14:01:00№%:№%:1205247
Ранее судимые безработные псковичи ограбили прохожего на улице Пароменской№%:№%:2019-01-28 13:53:37№%:№%:1205247
«Открытая Россия» решила зарегистрироваться в России после череды задержаний своих активистов№%:№%:2019-01-28 13:25:23№%:№%:1205247
Nissan врезался в дерево в Великолукском районе№%:№%:2019-01-28 13:08:46№%:№%:1205247
Помощник президента РФ Игорь Левитин исполнил мечту псковского подростка о поездке в Сочи№%:№%:2019-01-28 12:24:28№%:№%:1205247
Спектакль «Смотритель» покажет на псковской сцене Великолукский драмтеатр 17 февраля№%:№%:2019-01-28 11:59:25№%:№%:1205247
Автобус «Автофаворита» врезался в машину дорожной службы на объездной дороге№%:№%:2019-01-28 11:39:00№%:№%:1205247
Псковичи могут записаться на прием к петербургским врачам-специалистам№%:№%:2019-01-28 11:18:54№%:№%:1205247
В Пыталово из-за пожара из дома эвакуировали 10 жильцов№%:№%:2019-01-28 11:14:11№%:№%:1205247
Водитель «Хендая» сбил маму с ребенком в Пскове№%:№%:2019-01-28 10:52:09№%:№%:1205247
Псковичей призывают успеть зарегистрировать дачные и садовые дома до 1 марта№%:№%:2019-01-28 10:43:40№%:№%:1205247
В Плюссе из-за пожара в квартире в больницу увезли двух местных жителей№%:№%:2019-01-28 10:31:48№%:№%:1205247
Смертельное ДТП произошло в Стругокрасненском районе№%:№%:2019-01-28 10:25:52№%:№%:1205247
Потеряны собаки - русские пегие гончие. Пропали в Стругокрасненском районе, убежали в сторону Карамышевской волости. Писать в личные сообщения https://vk.com/gmail.com99 или звонить по номеру 89212177521.№%:№%:2019-01-28 09:54:18№%:№%:1205247
Интерактив: Ищу свидетелей ДТП, произошедшего 10 сентября на перекрестке Инженерная - Алтаева№%:№%:2019-01-28 09:48:31№%:№%:1205247
№%:№%:2019-01-28 08:56:34№%:№%:1205247
Псковские пограничники не дали замерзнуть четверым иностранным рыбакам на льду Чудского озера№%:№%:2019-01-28 08:40:23№%:№%:1205247
Спектакль «Горе от ума» покажет в Пушкинском Заповеднике театральная группа из Эстонии№%:№%:2019-01-27 22:21:11№%:№%:1205247
Акция «Хлеб той зимы» в четвертый раз прошла в Пскове№%:№%:2019-01-27 21:22:28№%:№%:1205247
Псков занял 51-ю строчку в рейтинге событийного потенциала регионов России№%:№%:2019-01-27 21:05:20№%:№%:1205247
Псковский полицейский во время драки в Петербурге выстрелил из травматического пистолета и попал в друга№%:№%:2019-01-27 20:36:33№%:№%:1205247
В Великих Луках автомобилист сбил 91-летнюю женщину и скрылся с места ДТП№%:№%:2019-01-27 20:10:20№%:№%:1205247
Интерактив: Когда уже начнут убирать снег в псковских переулках?№%:№%:2019-01-27 20:07:34№%:№%:1205247
Из Третьяковской галереи на глазах у посетителей похитили картину Куинджи - СМИ№%:№%:2019-01-27 19:56:01№%:№%:1205247
Урны для фекалий животных в Пскове переполнены бытовым мусором, который никто не хочет убирать№%:№%:2019-01-27 18:53:14№%:№%:1205247
Новый фильм о Пушкине сняли в музее-заповеднике «Михайловское»№%:№%:2019-01-27 18:29:13№%:№%:1205247
До -25 опустится столбик термометров в Псковской области в ночь на понедельник№%:№%:2019-01-27 18:11:06№%:№%:1205247
В новом торговом центре в Пскове откроется семизальный кинотеатр «Синема 5»№%:№%:2019-01-27 17:33:07№%:№%:1205247
Псковская область заняла 22 место в рейтинге самых футбольных регионов России№%:№%:2019-01-27 16:51:34№%:№%:1205247
Кажется, среди российских чиновников объявлен конкурс на самое неоднозначное высказывание -_-№%:№%:2019-01-27 16:18:58№%:№%:1205247
В псковском «Воркаут-центре» прошел День открытых дверей№%:№%:2019-01-27 15:53:52№%:№%:1205247
На трассе М-9 «Балтия» намерены поставить 13 док-станций для зарядки электромобилей№%:№%:2019-01-27 14:37:19№%:№%:1205247
Иван Цецерский объяснил, на каком основании на территории псковской школы организована парковка№%:№%:2019-01-27 14:08:05№%:№%:1205247
В Фонде капремонта напомнили, как получить компенсацию по взносам№%:№%:2019-01-27 13:47:59№%:№%:1205247
Уроженец Пскова забрался в квартиру петербуржца и ограбил его на 295 тысяч рублей№%:№%:2019-01-27 13:04:51№%:№%:1205247
Опубликованы кадры момента крушения сверхзвукового бомбардировщика в Мурманской области. ВИДЕО№%:№%:2019-01-27 12:46:27№%:№%:1205247
Продолжаются поиски пропавшего на новогодних каникулах жителя Псковского района№%:№%:2019-01-27 12:33:58№%:№%:1205247
После отмены запрета выхода на лед псковских озер погранслужбы задержали уже двух нарушителей госграницы№%:№%:2019-01-27 11:31:28№%:№%:1205247
«Коммунальщики в обмороке»: глава Пскова проверил качество уборки города от снега№%:№%:2019-01-27 11:12:28№%:№%:1205247
В Пскове профсоюзный активист получил ножевое ранение в спину№%:№%:2019-01-27 10:55:21№%:№%:1205247
«Генеральная репетиция» Масленицы прошла в Палкино№%:№%:2019-01-26 22:35:49№%:№%:1205247
«Псковпассажиравтотранс» не расплатился за спецодежду, приобретенную по контракту№%:№%:2019-01-26 19:41:55№%:№%:1205247
До 20 градусов мороза похолодает в Псковской области в воскресенье№%:№%:2019-01-26 17:43:46№%:№%:1205247
Полиция ищет мужчину с татуировкой в виде буквы «Л», пропавшего в декабре по дороге с рыбалки№%:№%:2019-01-26 17:20:40№%:№%:1205247
Мероприятия, посвященные 75-летию снятия блокады Ленинграда, провели росгвардейцы в городах СЗФО№%:№%:2019-01-26 16:07:24№%:№%:1205247
Как противостоять наркотикам, рассказали сотрудники полиции молодежи№%:№%:2019-01-26 15:43:56№%:№%:1205247
Михаил Лобанов, долгое время проживший в пристройке на станции Выдумка, получил ключи от новой квартиры№%:№%:2019-01-26 15:08:55№%:№%:1205247
Не допускать перекала печи призывает псковичей МЧС№%:№%:2019-01-26 14:44:42№%:№%:1205247
ПсковГУ приглашает на пробное тестирование устной части экзаменов Cambridge English№%:№%:2019-01-26 14:16:28№%:№%:1205247
Творческий вечер Людмилы Чурсиной пройдет в Великих Луках 10 февраля№%:№%:2019-01-26 14:10:59№%:№%:1205247
Выезд на лед Псковского, Теплого и Чудского озер все еще запрещен, за исключением официальных ледовых переправ№%:№%:2019-01-26 14:03:42№%:№%:1205247
17 студенческих площадок работали в ПсковГУ в Татьянин день№%:№%:2019-01-26 13:29:22№%:№%:1205247
Запрет выхода на лед в Псковской области отменен№%:№%:2019-01-26 13:23:40№%:№%:1205247
Дети-сироты из Псковской области отправятся на Фестиваль социальных проектов в Москву№%:№%:2019-01-26 12:19:05№%:№%:1205247
Мужчина погиб в результате ДТП на трассе Р-23 в Стругокрасненском районе№%:№%:2019-01-26 12:05:16№%:№%:1205247
Российские десантники примут участие в 24 конкурсах Армейских международных игр-2019№%:№%:2019-01-26 12:05:02№%:№%:1205247
«Студенческий десант» Псковского колледжа искусств побывал в музее псковской полиции№%:№%:2019-01-26 11:48:18№%:№%:1205247
Названы самые популярные туристические направления России в 2019 году№%:№%:2019-01-26 11:42:48№%:№%:1205247
В блокадный Ленинград превратится центр Пскова на время акции «Хлеб той зимы» 27 января№%:№%:2019-01-26 11:05:06№%:№%:1205247
Псковская область не вошла в число регионов с самым грязным воздухом№%:№%:2019-01-26 10:50:56№%:№%:1205247
Вице-спикеру Псковского областного Собрания 4-го созыва Леониду Кострице исполнилось 80 лет№%:№%:2019-01-26 10:42:58№%:№%:1205247
Жителя Себежского района оштрафовали за размещение экстремистских материалов в соцсетях№%:№%:2019-01-26 10:35:03№%:№%:1205247
III Большой фестиваль КВН пройдет сегодня в Пскове№%:№%:2019-01-26 10:23:09№%:№%:1205247
№%:№%:2019-01-26 10:09:38№%:№%:1205247
№%:№%:2019-01-26 09:19:39№%:№%:1205247
«Акценты» Донецкого: Судьба Курил, химкомбинат под Моглино и «Крещендо» - ёк №%:№%:2019-01-25 18:48:08№%:№%:1205247
На конкурсе «Сытый студент» Иван Цецерский рассказал, как разгружал вагоны с табаком и ел похлебку№%:№%:2019-01-25 18:03:16№%:№%:1205247
После публикации видео на ПЛН в Мелетово стали исправно чистить дороги№%:№%:2019-01-25 17:22:50№%:№%:1205247
Ночную погоню за украденным на улице Юности в Пскове ВАЗом устроили сотрудники ГИБДД. Когда автомобиль был настигнут, из него высыпали подростки. Двух девушек удалось задержать.№%:№%:2019-01-25 17:16:30№%:№%:1205247
По двум павильонам проката на набережной Псковы идет судебный процесс№%:№%:2019-01-25 17:09:10№%:№%:1205247
Батуты уберут из исторического центра Пскова№%:№%:2019-01-25 17:03:26№%:№%:1205247
ПЛН-ТВ: Хорошо или плохо обучают в России? №%:№%:2019-01-25 16:30:42№%:№%:1205247
В «Псков-Арт» не соглашаются с версией экспертов: Дом Сафьянщикова подожгли №%:№%:2019-01-25 15:01:28№%:№%:1205247
Юная порховичка выиграла конкурс «Мои крылья» и грант в 1 млн рублей№%:№%:2019-01-25 15:01:23№%:№%:1205247
Отведать традиционной ректорской медовухи собралось более сотни учащихся ПсковГУ№%:№%:2019-01-25 14:48:34№%:№%:1205247
Режиссер спектакля «Таланты и поклонники»: Зачем превращать лошадь Великатова в «Мерседес»?№%:№%:2019-01-25 14:37:05№%:№%:1205247
Проект «Школа «Наследие» стартовал в январе в Пскове№%:№%:2019-01-25 14:26:38№%:№%:1205247
Эксперт рекомендует владельцам садовых строений зарегистрировать право собственности на них до 1 марта№%:№%:2019-01-25 14:19:37№%:№%:1205247
Первые роды в новом перинатальном центре в Пскове примут 28 января№%:№%:2019-01-25 14:01:08№%:№%:1205247
Надежность электроснабжения Стругокрасненского и Плюсского районов повысят учения «Псковэнерго»№%:№%:2019-01-25 13:47:05№%:№%:1205247
В Пскове проходит приемка общественниками нового перинатального центра №%:№%:2019-01-25 12:20:29№%:№%:1205247
В Пскове уменьшили размер платы за содержание жилого помещения№%:№%:2019-01-25 12:03:43№%:№%:1205247
«Опель» сгорел у дома 10 по улице Балтийской в Пскове. ФОТО№%:№%:2019-01-25 11:22:22№%:№%:1205247
Два протеста прокурора, связанных с утилизацией ртути и правилами приема отходов, удовлетворили депутаты Пскова№%:№%:2019-01-25 11:07:08№%:№%:1205247
Только сегодня для всех студентов и Татьян скидка 50% на посещение аквапарка «Акваполис»№%:№%:2019-01-25 11:06:29№%:№%:1205247
Пропавшего 5 января псковича разыскивает полиция№%:№%:2019-01-25 11:04:20№%:№%:1205247
Псковская гордума одобрила предложенные Олегом Брячаком изменения в порядок перемещения задержанных машин на штрафстоянку№%:№%:2019-01-25 10:51:31№%:№%:1205247
Научитесь танцевать «с нуля» - в субботу в клубе «Грация» первое занятие для новичков №%:№%:2019-01-25 10:41:00№%:№%:1205247
